pickled dictionaries found in directory, loading them into memory ...
127200 test reviews.

File Classifications:
actors-1-10011.txt: positive
actors-1-10015.txt: positive
actors-1-10018.txt: positive
actors-1-10024.txt: negative
actors-1-10028.txt: positive
actors-1-10030.txt: positive
actors-1-10031.txt: positive
actors-1-10044.txt: negative
actors-1-10045.txt: positive
actors-1-1005.txt: positive
actors-1-10052.txt: positive
actors-1-10054.txt: positive
actors-1-10063.txt: negative
actors-1-10071.txt: positive
actors-1-10073.txt: negative
actors-1-10074.txt: positive
actors-1-10085.txt: negative
actors-1-10086.txt: positive
actors-1-10118.txt: positive
actors-1-10120.txt: negative
actors-1-10124.txt: positive
actors-1-10125.txt: negative
actors-1-10133.txt: positive
actors-1-10150.txt: negative
actors-1-10155.txt: positive
actors-1-10166.txt: positive
actors-1-10189.txt: positive
actors-1-10216.txt: positive
actors-1-10226.txt: positive
actors-1-10236.txt: positive
actors-1-10237.txt: neutral
actors-1-10239.txt: positive
actors-1-10276.txt: neutral
actors-1-10298.txt: negative
actors-1-10304.txt: positive
actors-1-10312.txt: positive
actors-1-10321.txt: positive
actors-1-10326.txt: positive
actors-1-10376.txt: positive
actors-1-10407.txt: neutral
actors-1-10418.txt: positive
actors-1-10422.txt: negative
actors-1-10427.txt: neutral
actors-1-10449.txt: negative
actors-1-10455.txt: negative
actors-1-10470.txt: neutral
actors-1-10472.txt: positive
actors-1-10482.txt: negative
actors-1-10495.txt: negative
actors-1-10497.txt: positive
actors-1-10516.txt: positive
actors-1-10519.txt: negative
actors-1-10520.txt: positive
actors-1-10523.txt: negative
actors-1-10540.txt: positive
actors-1-10542.txt: negative
actors-1-10543.txt: negative
actors-1-10545.txt: negative
actors-1-10546.txt: positive
actors-1-10548.txt: positive
actors-1-10550.txt: negative
actors-1-10551.txt: positive
actors-1-10558.txt: positive
actors-1-10562.txt: negative
actors-1-10571.txt: negative
actors-1-10575.txt: negative
actors-1-10579.txt: negative
actors-1-10582.txt: positive
actors-1-1059.txt: negative
actors-1-10607.txt: negative
actors-1-10610.txt: negative
actors-1-10618.txt: negative
actors-1-10638.txt: positive
actors-1-1066.txt: neutral
actors-1-10665.txt: negative
actors-1-10666.txt: positive
actors-1-10667.txt: positive
actors-1-10692.txt: positive
actors-1-10697.txt: negative
actors-1-10726.txt: negative
actors-1-1073.txt: positive
actors-1-10738.txt: positive
actors-1-10747.txt: positive
actors-1-10753.txt: negative
actors-1-10769.txt: negative
actors-1-10770.txt: positive
actors-1-10771.txt: negative
actors-1-10775.txt: negative
actors-1-10778.txt: positive
actors-1-10779.txt: neutral
actors-1-10782.txt: positive
actors-1-10783.txt: neutral
actors-1-10784.txt: negative
actors-1-10795.txt: negative
actors-1-10797.txt: negative
actors-1-10804.txt: negative
actors-1-10805.txt: negative
actors-1-10806.txt: negative
actors-1-10807.txt: positive
actors-1-10809.txt: negative
actors-1-10810.txt: negative
actors-1-10812.txt: negative
actors-1-10817.txt: positive
actors-1-10823.txt: negative
actors-1-10826.txt: negative
actors-1-10827.txt: negative
actors-1-10828.txt: positive
actors-1-10834.txt: negative
actors-1-10848.txt: positive
actors-1-10849.txt: positive
actors-1-10854.txt: positive
actors-1-10858.txt: positive
actors-1-10859.txt: negative
actors-1-10863.txt: negative
actors-1-10888.txt: neutral
actors-1-10915.txt: positive
actors-1-10917.txt: positive
actors-1-1092.txt: negative
actors-1-10936.txt: negative
actors-1-10960.txt: neutral
actors-1-1097.txt: negative
actors-1-10988.txt: negative
actors-1-10990.txt: negative
actors-1-10994.txt: negative
actors-1-10995.txt: neutral
actors-1-10997.txt: positive
actors-1-10998.txt: negative
actors-1-10999.txt: negative
actors-1-11001.txt: negative
actors-1-11003.txt: negative
actors-1-11004.txt: positive
actors-1-11010.txt: positive
actors-1-11012.txt: negative
actors-1-11013.txt: negative
actors-1-11016.txt: negative
