pickled dictionaries found in directory, loading them into memory ...
20744 test reviews.

File Classifications:
movies-1-10003.txt: negative
movies-1-10005.txt: negative
movies-1-10034.txt: neutral
movies-1-10036.txt: neutral
movies-1-10044.txt: negative
movies-1-10045.txt: negative
movies-1-10070.txt: negative
movies-1-10071.txt: positive
movies-1-10073.txt: neutral
movies-1-10074.txt: negative
movies-1-10085.txt: negative
movies-1-10086.txt: negative
movies-1-10087.txt: negative
movies-1-10099.txt: positive
movies-1-10113.txt: positive
movies-1-10115.txt: neutral
movies-1-10119.txt: negative
movies-1-10121.txt: negative
movies-1-10123.txt: negative
movies-1-10124.txt: negative
movies-1-10129.txt: negative
movies-1-10154.txt: negative
movies-1-10167.txt: negative
movies-1-10172.txt: negative
movies-1-1019.txt: negative
movies-1-102.txt: negative
movies-1-10200.txt: negative
movies-1-10203.txt: negative
movies-1-10205.txt: positive
movies-1-10209.txt: negative
movies-1-10210.txt: negative
movies-1-10213.txt: negative
movies-1-10214.txt: negative
movies-1-10235.txt: negative
movies-1-10258.txt: negative
movies-1-10259.txt: negative
movies-1-10280.txt: negative
movies-1-10283.txt: negative
movies-1-10297.txt: negative
movies-1-10301.txt: negative
movies-1-10305.txt: negative
movies-1-10307.txt: negative
movies-1-10324.txt: negative
movies-1-10336.txt: negative
movies-1-10339.txt: negative
movies-1-10346.txt: negative
movies-1-10356.txt: negative
movies-1-10360.txt: negative
movies-1-10382.txt: negative
movies-1-10385.txt: negative
movies-1-10386.txt: negative
movies-1-10403.txt: positive
movies-1-10420.txt: negative
movies-1-10429.txt: negative
movies-1-10447.txt: negative
movies-1-10466.txt: negative
movies-1-10468.txt: positive
movies-1-10470.txt: negative
movies-1-10474.txt: negative
movies-1-10483.txt: negative
movies-1-10484.txt: negative
movies-1-10491.txt: negative
movies-1-1050.txt: positive
movies-1-10510.txt: negative
movies-1-10518.txt: negative
movies-1-10527.txt: positive
movies-1-10543.txt: negative
movies-1-10545.txt: negative
movies-1-10549.txt: negative
movies-1-10553.txt: negative
movies-1-10557.txt: neutral
movies-1-10571.txt: negative
